Date,Exc50,Pav50,Exc90,Pav90,Exc10,Pav10,Avg,Basin
2024-03-12,47.305,75.881,32.329,51.858,79.346,127.279,62.34,EWR
2024-03-19,606.675,96.604,472.013,75.161,855.823,136.277,628.003,TNL
2024-03-19,323.401,109.474,253.456,85.797,510.399,172.775,295.413,SDT
2024-03-19,419.47,111.049,365.548,96.774,567.363,150.202,377.734,MSS
2024-03-19,739.959,74.962,676.539,68.537,961.215,97.377,987.109,PSH
2024-03-19,1497.488,86.784,1149.231,66.601,2298.604,133.211,1725.54,SIS
2024-03-19,2241.499,93.45,1938.225,80.806,3555.716,148.24,2398.615,SBB
2024-03-19,1534.385,92.129,1261.414,75.739,2521.814,151.417,1665.475,FTO
2024-03-19,1057.356,108.642,778.548,79.995,1539.508,158.182,973.251,YRS
2024-03-19,1296.18,106.003,980.908,80.219,2025.149,165.618,1222.78,AMF
2024-03-19,137.725,107.306,107.337,83.63,267.142,208.14,128.347,CSN
2024-03-19,464.439,99.819,390.037,83.828,637.406,136.993,465.282,MKM
2024-03-19,685.809,99.091,544.812,78.718,971.125,140.315,692.103,SNS
2024-03-19,1063.499,87.434,839.285,69.001,1345.556,110.623,1216.343,TLG
2024-03-19,564.777,89.741,463.183,73.598,815.467,129.575,629.337,MRC
2024-03-19,1055.032,85.197,886.18,71.561,1364.383,110.178,1238.349,SJF
2024-03-19,905.841,74.026,745.449,60.919,1158.353,94.661,1223.681,KGF
2024-03-19,238.699,84.545,193.439,68.514,339.371,120.203,282.333,KWT
2024-03-19,38.057,63.158,27.773,46.091,67.685,112.33,60.256,SCC
2024-03-19,382.172,84.052,316.686,69.65,481.628,105.926,454.684,KRI
2024-03-19,213.672,84.502,179.621,71.036,332.7,131.574,252.861,TRF
2024-03-19,51.651,95.659,42.031,77.843,62.868,116.433,53.995,WFC
2024-03-19,170.466,90.781,147.026,78.299,226.057,120.387,187.776,EFC
2024-03-19,148.938,92.964,124.754,77.869,180.354,112.573,160.211,WWR
2024-03-19,53.2,85.339,36.543,58.619,80.441,129.036,62.34,EWR
2024-03-26,695.009,110.67,533.535,84.957,913.976,145.537,628.003,TNL
2024-03-26,400.547,135.589,305.996,103.582,555.132,187.917,295.413,SDT
2024-03-26,474.028,125.492,412.57,109.222,580.928,153.793,377.734,MSS
2024-03-26,794.612,80.499,706.674,71.59,952.181,96.462,987.109,PSH
2024-03-26,1663.4,96.399,1180.582,68.418,2349.568,136.164,1725.54,SIS
2024-03-26,2585.603,107.796,2040.196,85.057,3985.815,166.172,2398.615,SBB
2024-03-26,1713.712,102.896,1432.4,86.006,2556.708,153.512,1665.475,FTO
2024-03-26,1202.293,123.534,930.085,95.565,1596.902,164.079,973.251,YRS
2024-03-26,1506.766,123.225,1182.527,96.708,2015.412,164.822,1222.78,AMF
2024-03-26,181.8,141.647,139.872,108.979,272.781,212.533,128.347,CSN
2024-03-26,537.999,115.629,444.486,95.53,667.963,143.561,465.282,MKM
2024-03-26,783.368,113.187,598.311,86.448,1006.014,145.356,692.103,SNS
2024-03-26,1176.052,96.688,973.884,80.067,1392.157,114.454,1216.343,TLG
2024-03-26,652.207,103.634,544.127,86.46,827.769,131.53,629.337,MRC
2024-03-26,1219.055,98.442,995.134,80.36,1436.598,116.009,1238.349,SJF
2024-03-26,1068.879,87.35,860.721,70.339,1213.11,99.136,1223.681,KGF
2024-03-26,265.833,94.156,219.292,77.672,340.918,120.75,282.333,KWT
2024-03-26,47.767,79.273,37.084,61.544,75.072,124.589,60.256,SCC
2024-03-26,432.018,95.015,352.12,77.443,527.778,116.076,454.684,KRI
2024-03-26,252.965,100.041,205.666,81.336,344.438,136.216,252.861,TRF
2024-03-26,54.298,100.562,43.56,80.674,66.56,123.271,53.995,WFC
2024-03-26,192.445,102.486,160.251,85.342,227.947,121.393,187.776,EFC
2024-03-26,160.748,100.335,132.462,82.68,185.355,115.695,160.211,WWR
2024-03-26,68.183,109.371,46.086,73.927,91.411,146.632,62.34,EWR
